                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72365,                0.51413,                 1.0847,                0.97709,                0.98284,                0.99325,                0.86758,                0.55484,                0.37257,                0.92512,               0.001307,               0.001307,               0.001307
                     37,                0.71003,                 0.5012,                 1.0807,                0.97724,                 0.9734,                0.99341,                0.86658,                0.55478,                 0.3819,                0.90076,              0.0012872,              0.0012872,              0.0012872
                     38,                0.73751,                  0.526,                  1.086,                0.98387,                0.97325,                0.99045,                0.87438,                0.51664,                0.37605,                0.88858,              0.0012674,              0.0012674,              0.0012674
                     39,                0.71509,                0.51363,                 1.0799,                0.98745,                0.97669,                0.99408,                0.86914,                0.55668,                0.39373,                0.90469,              0.0012476,              0.0012476,              0.0012476
                     40,                0.70786,                0.50313,                 1.0774,                0.98571,                0.97876,                0.99268,                0.88435,                0.49861,                0.33981,                0.87901,              0.0012278,              0.0012278,              0.0012278
                     41,                0.70022,                0.48708,                 1.0755,                0.99278,                 0.9805,                0.99453,                0.88388,                0.50609,                0.34607,                0.88548,               0.001208,               0.001208,               0.001208
                     42,                0.70554,                 0.4979,                 1.0816,                0.98414,                0.98991,                0.99455,                0.87321,                0.53019,                0.34282,                0.88723,              0.0011882,              0.0011882,              0.0011882
                     43,                0.70519,                0.48297,                 1.0793,                0.98415,                0.99054,                0.99356,                0.88504,                0.50862,                0.34459,                0.88776,              0.0011684,              0.0011684,              0.0011684
                     44,                  0.705,                 0.4893,                 1.0724,                0.97733,                0.99359,                 0.9938,                0.89203,                0.50216,                 0.3448,                0.88777,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.6734,                0.47109,                 1.0566,                0.99303,                 0.9805,                0.99459,                   0.89,                0.48285,                 0.3568,                 0.8756,              0.0011288,              0.0011288,              0.0011288
                     46,                0.68431,                0.47997,                 1.0744,                0.99207,                 0.9805,                0.99454,                0.89324,                0.48728,                0.33994,                0.87646,               0.001109,               0.001109,               0.001109
                     47,                0.68792,                0.47134,                 1.0711,                0.99332,                0.98582,                0.99466,                0.88718,                0.50135,                0.32971,                 0.8831,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68949,                0.47776,                  1.073,                0.97613,                0.98759,                0.99422,                0.88747,                0.48295,                0.33339,                0.87553,              0.0010694,              0.0010694,              0.0010694
                     49,                0.67778,                0.47585,                 1.0634,                 0.9939,                0.99113,                0.99457,                0.89433,                0.48405,                0.32107,                 0.8684,              0.0010496,              0.0010496,              0.0010496
