                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0721,                0.91634,                 1.5982,                0.95397,                0.88186,                0.95823,                0.75274,                0.82738,                0.66293,                 1.5189,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0793,                0.94168,                 1.5946,                0.92629,                0.89121,                0.95487,                0.75139,                0.83851,                0.69989,                 1.5225,               0.001307,               0.001307,               0.001307
                     37,                 1.0648,                0.89512,                 1.5925,                0.94457,                0.87615,                0.95509,                 0.7647,                0.79479,                0.66691,                  1.484,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0882,                 0.9349,                  1.569,                0.91151,                0.89495,                0.95873,                0.76442,                0.81379,                0.64608,                 1.4871,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0659,                0.91694,                 1.5716,                0.92519,                0.92102,                0.95614,                0.76787,                0.80217,                0.62446,                 1.5015,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0459,                0.89154,                 1.5479,                0.94939,                0.90957,                0.96807,                0.74504,                0.88594,                0.63352,                  1.568,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0446,                0.86403,                 1.5355,                0.93895,                0.92021,                0.96649,                0.77994,                 0.7727,                0.58353,                 1.4631,               0.001208,               0.001208,               0.001208
                     42,                 1.0435,                0.86005,                 1.5593,                0.93219,                0.87751,                0.95099,                0.75961,                 0.7704,                0.65075,                  1.455,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0045,                0.83387,                 1.5234,                0.94047,                0.90603,                 0.9634,                0.77858,                0.76557,                0.61215,                 1.4502,              0.0011684,              0.0011684,              0.0011684
                     44,                0.99667,                0.82849,                 1.5135,                0.96063,                0.89539,                0.96865,                 0.7827,                0.77424,                0.59858,                 1.4521,              0.0011486,              0.0011486,              0.0011486
                     45,                0.98485,                0.83093,                 1.5115,                0.91742,                0.90612,                  0.963,                0.78865,                0.72511,                0.61563,                 1.4064,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0111,                0.86014,                   1.52,                0.94322,                0.90248,                0.96835,                0.78279,                0.75782,                0.58626,                 1.4252,               0.001109,               0.001109,               0.001109
                     47,                 1.0083,                0.81007,                 1.5173,                0.95906,                0.87229,                0.96564,                0.77668,                0.75221,                0.61919,                 1.4289,              0.0010892,              0.0010892,              0.0010892
                     48,                0.98382,                0.82201,                 1.5123,                0.96245,                0.90889,                0.97432,                0.79101,                0.74062,                0.55734,                  1.418,              0.0010694,              0.0010694,              0.0010694
                     49,                0.99644,                0.81985,                 1.5101,                 0.9511,                0.93105,                0.97802,                0.79965,                0.74293,                0.56923,                 1.4226,              0.0010496,              0.0010496,              0.0010496
                     50,                0.96093,                0.78533,                 1.4724,                0.92388,                0.87766,                0.96342,                0.78229,                 0.7325,                0.61265,                  1.388,              0.0010298,              0.0010298,              0.0010298
                     51,                0.97819,                0.80166,                 1.4979,                0.95423,                0.91135,                0.97597,                0.80674,                0.69226,                0.54937,                 1.3487,                0.00101,                0.00101,                0.00101
                     52,                0.94837,                0.77736,                 1.4806,                0.93104,                0.88575,                0.96653,                0.80097,                0.66684,                 0.5603,                 1.3334,              0.0009902,              0.0009902,              0.0009902
                     53,                0.96768,                0.76864,                 1.4861,                0.92763,                0.94149,                0.97428,                0.80628,                0.70952,                0.53978,                 1.3614,              0.0009704,              0.0009704,              0.0009704
                     54,                0.96523,                0.78446,                 1.4729,                0.95573,                 0.9187,                0.97747,                0.80704,                0.69172,                 0.5401,                 1.3512,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0072,                0.81061,                 1.5111,                0.94289,                0.93678,                0.98078,                0.82402,                0.66246,                0.51247,                 1.3237,              0.0009308,              0.0009308,              0.0009308
                     56,                0.93078,                0.75532,                 1.4631,                0.95254,                0.92514,                0.98099,                0.82071,                0.65647,                0.49811,                 1.3188,               0.000911,               0.000911,               0.000911
                     57,                0.93436,                0.74474,                 1.4643,                0.94351,                0.89716,                0.97093,                0.79866,                0.69345,                 0.5391,                 1.3494,              0.0008912,              0.0008912,              0.0008912
                     58,                0.95976,                0.82034,                 1.4665,                0.97189,                0.91955,                0.98031,                0.81951,                0.66223,                0.50384,                 1.3285,              0.0008714,              0.0008714,              0.0008714
